fault_text,label_name,split
TIMS showed intermittent BCU brake faultat car 2530. Train performance - ok.,ACU,train
TC reported TIMS showed air dryer faultat car 3534.,Air Dryer,train
Snaprep: 3540 One saloon light blown,Saloon Light,train
1547 CE reported No.2 end gangway A/s ce,Gangway Latch Loose,train
3554 DT check found bogie 2 having heavy,Parking Brake Unit,train
3515 SnapRep reported Door A1 light not,Saloon Light,train
Train encountered power fault at front M1 car while arriving station. Fault was thrice unable to res et.,TIR,train
Reported 3510 B1 door rubbing mark at ca,Weather Strip,train
TC reported fire external at front DT car. SM (YCK) checked and confirmed no sign of fire and no oth er abnormalities at the exterior of the car. Rear train T429(3620) performed line clear and feedback no abnormalities.,External Smoke Detector,train
3611 B2 & B3 door roller faulty.,Door Roller,train
Train doors not proven closed at rear DTcar B4 door. TC opened and closed train doors thrice to cle ar fault.,Door Control Panel,train
3669 ATC marker light not working,ATC Marker Light,train
1506 & 2506 GANGWAY FOOTPLATE TILTED.,Gangway,train
TC feedback after changing end that oneof the saloon lights in car 3563 'B2' door was not working.,Saloon Light,train
Snap:1623 on the green line. Water is le,Clear Drain Pan,train
2614 A/C 2-2 suspect evaporator unit cho,Saloon Evaporator,train
717/718  Bump stop failed criteria,Adjust Bump Stop Gap,train
TIMS showed Smoke Internal at car 3516.Staff(TPG) checked and confirmed no signs of smoke or fire o n exterior or interior of train. Train was escorted to termi nal station. TIMS showed Smoke Internal at car 3516. Staff(T,External Smoke Detector,train
2642 MPV heavy leak found during PM.,MPV,train
TC reported air discharge sound heard from driving cab. MR pressure drop to 8.8 bar when train at pl atform. MR charge to 10 bar when moving.,Wiper Engine,train
TC reported LMRG fault. MR dropped to 8bar but charged up to 9 bar. Train was routed back to depot.,Bunching of Trains,train
Train doors both side unable to close. TC open and close few times to no avail. TC open and close ca b door 'B' side - ok.,Adjust Cab Door Sensing Switch Plunger,train
#3534 B/S Cab door unable to open(Train,Cab Door Cable,train
515/516 Door manifold sample check.,Door Manifold,train
#3502 'B1' saloon door Roller faulty.Fou,Door Roller,train
Cab light lever broken.,Cab Light Switch,train
#3564 Cab Light Not Working.,Cab Light,train
1647 A/C 1 evap c/o,Saloon Evaporator,train
"TC reported TIMS shows: ""Fire and SmokeDetector lost power"" at car 2569. Fault self cleared. TC rep orted TIMS shows: ""Fire and Smoke Detector lost power"" at ca r 2569. Fault self cleared.",Fire Control Panel,train
"2637 auto coupler leak, to be rectified.",CMV,train
TIMS showed air-con fault at front M1 car #2 set. Staff(JUR) checked and confirmed fault. Reset - ok . Car warm,Saloon CCU Fan,train
(SNAPREP) CE reported 1606 found no:1 en,Aircon Filter,train
TC suspected FDT car 'A1' door did not opened when all train doors were opened.SM(ORC) checked andconfirmed the no abnormalities.Staff (TAP) checked and fe edback that 'A1' door at FDT car were slightly slow in closi,Door Roller,train
3623 B1 DOOR UNABLE TO CLOSE (TRAIN PREP,Door Operator,train
TC reported 'B' side cabwas unable toopen. when TC was trying to do step out check. TC reported ' B' side cabwas unable to open. when TC was trying to do st ep out check.,Cab Door Cable,train
Snap: 3638 B1 top ceiling water dripping,Saloon Evaporator,train
DT 655/656 SLIP AND SLIDEDT 655/656- VOBC PASSIVE DUT TO SLIP AND SLIDE FAULT TIME 15/01/20 TIME0.4859375,Tacho,train
1619 and 1620 DT check found when coast,Pressure Transducer,train
1690 PRECHARGING RESISTOR PROTECTION FAU,Charging Resistor,train
Train undershoot platform in Auto mode.Proceeded in ATPM mode to the headwall. TC reported intermit tent brake fault at front M1 car.,ACU,train
TC reported after changing end that oneof the saloon lights in car 1505 was not working.,Saloon Light,train
Snaprep: 1565 saloon light not working,Saloon Light,train
559/560 PM reported air spring high fail,Adjust Air Spring Height,train
1613 and 1614 charging resistor terminal,Charging Resistor,train
TC reported cab air-con cover dislodgedand its on the floor. TC took pic and sent to JUR RSM ERS-14,Cab Louvre,train
Car / impact force / location ....1634 9,Wheel Profiling,train
TC reported air-con fault. Unable to reset. Staff(WDL) checked and confirmed that car 3507 set #1 ai r-con faulty. Reset - ok. Car was cooling. TC reported air-c on fault. Unable to reset. Staff(WDL) checked and confirmed,Saloon CCU,train
CE reported 1563 no1end (RHS)wheelflat n,Wheel Profiling,train
1557 wheel reprofiling,Wheel Profiling,train
Train undershoot platform less than 5 metres in Auto mode. Proceeded in ATPM mode to the headwall.,Tacho,train
"Train encountered power fault at rear M1car while arriving station. Reset - ok. Fault recurred depa rting ADM2. Unable to reset at SBW2, CBR2 and YIS2. Slow pic k up.",K2 Contactor,train
TIMS showed 'obstacle detected'. TC thenoperated ODCS and proceed in ATPM back to UPD.,Wire Loose,train
"3614 B2 RHS door wobbly, 2614 A2 LHS door wobbly. To replace door
roller",Door Roller,train
#3616 TIMS display not working To check,TIMS VDU,train
"TC reported Rear DT BCU unit healthy fault indication light up intermittently. TC did brake status c heck at CBR1, confirmed no stuck brake indication. Train per formance - ok.",Tacho,train
Snap: 3540 Saloon warm,Recharge Freon,train
Train encountered power fault at front M1 car 1569 while arriving station. Reset at BGS - ok. Fault recurred departing BGS. Reset atCTH - ok. Train performanc e - ok Train encountered power fault at front M1 car 1569 wh,Traction Motor,train
"TC reported ""A"" side wiper was faulty.",Wiper,train
BCU fault on FM1 when train in stationary. Train performance is ok.,Pressure Transducer,train
"3622 B1,A1,B3,A3,A4-Wheel flange height 22 B1,A1,B3,A3,A4-Wheel flange height fail",Wheel Profiling,train
